Word,Label
patient,O
:,O
my,O
mom,Subject
was,O
diagnosed,O
with,O
bacterial,Detailed_description
pneumonia,Disease_disorder
back,O
in,Date
late,Date
december,Date
.,O
after,O
a,O
round,O
of,O
antibiotics,Medication
",",O
she,O
felt,Sign_symptom
much,Sign_symptom
better,Sign_symptom
but,O
the,O
xray,Diagnostic_procedure
still,O
showed,O
pneumonia,Disease_disorder
.,O
a,O
round,O
of,O
stronger,O
antibiotics,Medication
were,O
then,O
given,O
to,O
her,O
.,O
she,O
went,O
back,O
for,O
a,O
follow,Clinical_event
up,Clinical_event
xray,Diagnostic_procedure
last,Date
week,Date
and,O
the,O
xray,Diagnostic_procedure
now,O
shows,O
the,O
pneumonia,Disease_disorder
is,O
in,O
both,Biological_structure
lungs,Biological_structure
.,O
the,O
strange,O
thing,O
is,O
.,O
.,O
.,O
she,O
has,O
no,O
symptoms,Sign_symptom
.,O
no,O
coughing,Sign_symptom
",",O
no,O
fever,Sign_symptom
",",O
nothing,O
.,O
could,O
it,O
possibly,O
be,O
viral,Detailed_description
?,O
or,O
fluid,O
?,O
or,O
cancer,O
?,O
?,O
?,O
?,O
btw,O
she,O
has,O
never,History
smoked,History
in,O
her,O
life,O
.,O
